Country,Year,gain,gain_delta,economic,governance,readiness,readiness_delta,social,capacity,ecosystems,exposure,food,habitat,health,infrastructure,sensitivity,vulnerability,vulnerability_delta,water,biome_threat,business,coast_area,coast_popn,corruption,d-Ppt,d-Temp,daly,dependency_natural,ecological_footprint,electrical_outages,energy_access,energy_sensit,enrollment,external,fertilizers,finan,fiscal,food_capacity,gov_spend,health_disease,imports,international_treaties,invest,irrigated,labor,life,machinery,malnutr,matern,mobiles,monetary,non_violence,protected_biomes,road_floods,road_paved,rule_of_law,rural_popn,sanit,slums,staff,threatened_species,trade,trade_transport,urban_concentration,urban_excess_growth,urban_risk,voice_accountability,water_access,water_disease,water_use,yield_cv,yld_proj
Afghanistan,2005,nan,nan,nan,0.180749676,nan,nan,0.079266465,0.794841224,0.597522215,0.547390094,0.770044128,0.652501605,0.740403266,0.330999877,0.540117561,0.624867061,0.105061321,0.657194049,0.562664747,nan,0.0,0.0,0.208292001,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.0226272,0.20768191,0.021201794,nan,nan,0.940009841,nan,0.720565942,nan,0.743495347,nan,0.098778525,nan,0.767671755,0.000715866,0.86,1.0,0.044585689,nan,0.068300481,0.978235294,0.073593671,0.725405712,0.153246117,0.771,0.65,nan,0.964,0.199115501,nan,0.78,0.481626476,0.737505639,0.614375911,0.265656548,0.58,0.936666667,0.3557,nan,0.509166672
Afghanistan,2006,nan,nan,nan,0.171002517,nan,nan,0.072231409,0.791512875,0.597522215,0.54740731,0.767186671,0.661776641,0.753760522,0.327318734,0.55109529,0.627340712,0.110989307,0.653860716,0.562664747,nan,0.0,0.0,0.21070956,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.028864826,0.293679105,0.031454965,nan,nan,0.932380011,nan,0.720565942,nan,0.743495347,nan,0.103785012,nan,0.762018096,0.000715866,0.86,1.0,0.091065215,nan,0.042031143,0.978235294,0.073593671,0.707,0.10618109,0.7672,0.645999985,nan,0.9638,0.199115501,nan,0.78,0.481815855,0.78369144,0.614375911,0.260266848,0.564000015,0.936666667,0.3557,nan,0.509166672
Afghanistan,2007,nan,nan,nan,0.155199215,nan,nan,0.090843234,0.789746001,0.597522215,0.547425603,0.768350583,0.660875675,0.747565134,0.327318734,0.547139891,0.625501308,0.112692869,0.650527383,0.562664747,nan,0.0,0.0,0.18246875,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.035102456,0.262831164,0.017504491,nan,nan,0.940835661,nan,0.720565942,nan,0.743495347,nan,0.100824187,nan,0.755893706,0.000715866,0.86,1.0,0.164022474,nan,0.008743578,0.978235294,0.073593671,0.707,0.109994393,0.7634,0.642000008,nan,0.9636,0.199115501,nan,0.78,0.482017071,0.778985393,0.614375911,0.274385316,0.547999992,0.936666667,0.3557,nan,0.509166672
Afghanistan,2008,nan,nan,nan,0.140801015,nan,nan,0.114384894,0.779813772,0.597522215,0.547438591,0.767997262,0.649726417,0.732150165,0.327318734,0.540092894,0.620028747,0.105649555,0.647194049,0.562664747,nan,0.0,0.0,0.175235712,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.041340085,0.200917019,0.016014883,nan,nan,0.943222377,nan,0.720565942,nan,0.743495347,nan,0.097540362,nan,0.749228828,0.000715866,0.86,0.976289213,0.269901541,nan,0.0,0.978235294,0.073593671,0.707,0.10967138,0.7596,0.637999992,nan,0.9634,0.199115501,nan,0.728666663,0.482159943,0.774429566,0.614375911,0.247167334,0.532000008,0.936666667,0.3557,nan,0.509166672
Afghanistan,2009,nan,nan,nan,0.13704789,nan,nan,0.146322922,0.762581151,0.597522215,0.547444934,0.76943611,0.638591055,0.720622852,0.327318734,0.543410008,0.615542125,0.113973431,0.643860716,0.562664747,nan,0.0,0.0,0.195965166,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.047577714,0.242501411,0.016014883,nan,nan,0.952777769,nan,0.720565942,nan,0.743495347,nan,0.078429579,nan,0.742022975,0.000715866,0.86,0.872946799,0.398744012,nan,0.0,0.978235294,0.073593671,0.707,0.118857585,0.7558,0.634000015,nan,0.9632,0.199115501,nan,0.677333331,0.482229717,0.770016315,0.614375911,0.215178503,0.515999985,0.936666667,0.3557,nan,0.509166672
Afghanistan,2010,nan,nan,nan,0.128306104,nan,nan,0.151237161,0.744346894,0.597522215,0.547445141,0.768486483,0.627469558,0.715027086,0.327318734,0.550345978,0.61189759,0.113231258,0.640527383,0.562664747,nan,0.0,0.0,0.175837219,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.047577714,0.319936055,0.016014883,nan,nan,0.952777769,nan,0.720565942,nan,0.743495347,nan,0.078429579,nan,0.734356145,0.000715866,0.86,0.769604383,0.420079815,nan,0.0,0.978235294,0.073593671,0.707,0.12047528,0.75200149,0.63,nan,0.9632,0.199115501,nan,0.626,0.482231995,0.765739885,0.614375911,0.209081094,0.5,0.936666667,0.3557,nan,0.509166672
Afghanistan,2011,nan,nan,nan,0.128306104,nan,nan,0.151237161,0.744346894,0.597522215,0.547445141,0.768486483,0.627469558,0.715027086,0.327318734,0.550345978,0.61189759,0.110911725,0.640527383,0.562664747,nan,0.0,0.0,0.175837219,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.047577714,0.319936055,0.016014883,nan,nan,0.952777769,nan,0.720565942,nan,0.743495347,nan,0.078429579,nan,0.734356145,0.000715866,0.86,0.769604383,0.420079815,nan,0.0,0.978235294,0.073593671,0.707,0.12047528,0.75200149,0.63,nan,0.9632,0.199115501,nan,0.626,0.482231995,0.765739885,0.614375911,0.209081094,0.5,0.936666667,0.3557,nan,0.509166672
Albania,1995,53.06582134,-1.289131078,0.606142857,0.344784789,0.421299459,-0.057018704,0.251356264,0.476949759,0.45456146,0.245881351,0.426087248,0.454633277,0.227661125,0.343927859,0.384110308,0.359983032,-0.033111956,0.253027222,0.160768147,0.7,0.0601,0.065,0.281112982,0.67575,0.525,0.074999999,0.437794542,0.526257754,1.0,0.0,1.0,0.193240571,0.149338377,0.426262976,0.5,0.817,0.399606819,0.51,0.113861386,0.11,0.702820255,0.7,0.335230071,0.49,0.262594194,0.774523397,0.81,0.031652793,0.0,0.426,0.420392721,0.788823529,0.328467153,0.61,0.31582822,0.611,0.22,0.0,0.73352,0.110904536,0.59,0.534,0.193799659,1.0,0.0,0.332848664,0.02,0.033333333,0.04408,0.34,0.285916672
Albania,1996,52.91151377,-2.233837544,0.619857143,0.344784789,0.426826225,-0.05984532,0.251493103,0.469174573,0.440638522,0.246545616,0.514667202,0.456072517,0.20524237,0.343927859,0.413278112,0.36859595,-0.017135029,0.251027227,0.160768147,0.7,0.0601,0.065,0.281112982,0.67575,0.525,0.074999999,0.437794542,0.526257754,1.0,0.0,1.0,0.193240571,0.027959832,0.426262976,0.3,0.817,0.426686542,0.603,0.113861386,0.62,0.712812034,0.7,0.335230071,0.49,0.255178584,0.720363951,0.81,0.029774418,0.000821036,0.629,0.420392721,0.695294118,0.328467153,0.61,0.31582822,0.6054,0.208000031,0.0,0.72968,0.110904536,0.59,0.534,0.202435103,1.0,0.0,0.332848664,0.02,0.033333333,0.04408,0.34,0.285916672
Albania,1997,53.61893622,-0.812733994,0.635285714,0.353385146,0.432903384,-0.048504133,0.242578513,0.469554053,0.442091734,0.247163528,0.46674286,0.457411328,0.203946954,0.343927859,0.390017026,0.360524659,-0.034063398,0.24902722,0.160768147,0.7,0.0601,0.065,0.289348173,0.67575,0.525,0.074999999,0.437794542,0.526257754,1.0,0.0,1.0,0.193240571,0.02644571,0.426262976,0.3,0.815,0.44474049,0.665,0.113861386,0.32,0.722119543,0.7,0.335230071,0.49,0.246078584,0.684256055,0.81,0.027896043,0.001185894,0.677,0.399190688,0.694705882,0.328467153,0.61,0.28890202,0.5998,0.195999985,0.0,0.7344,0.110904536,0.59,0.534,0.210467967,1.0,0.0,0.371616578,0.02,0.033333333,0.04408,0.34,0.285916672
