ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
COG,Congo,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055
COD,"Congo, the Democratic Republic of the",0.0485,0.0485,0.0485,0.0485,0.0485,0.0485,0.0485,0.0485,0.0485,0.0485,0.0485,0.0485,0.0485,0.0485,0.0485,0.0485,0.0485
CRI,Costa Rica,5.135,4.584800243,4.034600258,3.484400034,2.934200048,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384
CIV,C™te d'Ivoire,1.518,1.561800003,1.605599999,1.649399996,1.693199992,1.737,1.737,1.737,1.737,1.737,1.737,1.737,1.737,1.737,1.737,1.737,1.737
HRV,Croatia,0.5981,0.5981,0.5981,0.5981,0.5981,0.5981,0.5981,0.5981,0.5981,0.5981,0.5981,0.5981,0.5981,0.5981,0.5981,0.5981,0.5981
CUB,Cuba,13.65,14.87999916,16.1099987,17.34000015,18.56999969,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8
CYP,Cyprus,26.67,25.4640007,24.25799942,23.05200005,21.84600067,20.64,21.19199944,21.74399948,22.29599953,22.84799957,23.4,22.57799911,21.75600052,20.93400002,20.11200142,19.29,19.29
CZE,Czech Republic,18.96,17.82600021,16.69199944,15.55799961,14.42399979,13.29,13.44200039,13.59399986,13.74600029,13.89799976,14.05000019,14.20200062,14.35400009,14.50600052,14.65799999,14.81,14.81
DNK,Denmark,11.15,11.15,11.15,11.15,11.15,11.15,10.7699995,10.38999939,10.01000023,9.630000114,9.25,9.550000191,9.850000381,10.14999962,10.44999981,10.75,10.75
DJI,Djibouti,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
DMA,Dominica,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
DOM,Dominican Republic,39.71,35.08799744,30.4659996,25.84399986,21.22200012,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6
ECU,Ecuador,4.003,3.920999765,3.838999748,3.756999969,3.674999952,3.593,3.593,3.593,3.593,3.593,3.593,3.593,3.593,3.593,3.593,3.593,3.593
EGY,Egypt,102.7,105.9599991,109.2200012,112.4799957,115.7399979,119,119,119,119,119,119,119,119,119,119,119,119
SLV,El Salvador,5.454,5.454,5.454,5.454,5.454,5.454,5.454,5.454,5.454,5.454,5.454,5.454,5.454,5.454,5.454,5.454,5.454
GNQ,Equatorial Guinea,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669
ERI,Eritrea,6.562,6.562,6.562,6.562,6.562,6.562,7.097199917,7.632399559,8.167599678,8.702799797,9.238,9.238,9.238,9.238,9.238,9.238,9.238
EST,Estonia,1.233,3.268399954,5.303799629,7.33920002,9.374599457,11.41,11.93200016,12.45400047,12.97599983,13.49800014,14.02,14.02,14.02,14.02,14.02,14.02,14.02
ETH,Ethiopia,4.556,4.556,4.556,4.556,4.556,4.556,4.556,4.556,4.556,4.556,4.556,4.556,4.556,4.556,4.556,4.556,4.556
FJI,Fiji,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862
FIN,Finland,2.351,2.293600082,2.236200094,2.178799868,2.121399879,2.064,1.948199868,1.832399964,1.716599941,1.600800037,1.485,1.485,1.485,1.485,1.485,1.485,1.485
FRA,France,15.5,15.5,15.5,15.5,15.5,15.5,15.39599991,15.29199982,15.18799973,15.08399963,14.98,14.98,14.98,14.98,14.98,14.98,14.98
GAB,Gabon,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793
GMB,Gambia,0.8912,0.8912,0.8912,0.8912,0.8912,0.8912,0.8912,0.8912,0.8912,0.8912,0.8912,0.8912,0.8912,0.8912,0.8912,0.8912,0.8912
